movieId,title
5054,The Santa Clause
5064,The Shawshank Redemption
5120,Shallow Grave
5125,Suture
1,Strawberry and Chocolate
150,Swimming with Sharks
342,The Sum of Us
497,Senior Trip
594,To Live
750,Tank Girl
852,Tales from the Crypt: Demon Knight
1059,Star Trek: Generations
1079,Tales from the Hood
1183,Tom & Viv
1188,Village of the Damned
1197,Tommy Boy
1207,Vanya on 42nd Street
1246,The Underneath
1262,The Walking Dead
1291,What's Eating Gilbert Grape
1304,Virtuosity
1391,While You Were Sleeping
1527,The War
1653,Double Happiness
1676,Muriel's Wedding
1682,The Baby-Sitters Club
2245,Ace Ventura: Pet Detective
2321,"The Adventures of Priscilla, Queen of the Desert"
2324,Backbeat
2355,Bitter Moon
2395,Bullets Over Broadway
2396,Clear and Present Danger
2571,The Client
2640,"Corrina, Corrina"
2762,Crooklyn
2858,The Crow
3114,Cobb
3408,The Flintstones
3535,Forrest Gump
3538,Four Weddings and a Funeral
3717,Higher Learning
3751,I Like It Like That
3793,I Love Trouble
3948,It Could Happen to You
3967,The Jungle Book
3969,"The Wonderful, Horrible Life of Leni Riefenstahl"
3996,The Lion King
4014,Little Buddha
4027,New Nightmare
4103,The Mask
4226,Maverick
4246,Mrs. Parker and the Vicious Circle
4306,The Naked Gun 33⅓: The Final Insult
4308,The Paper
4367,Reality Bites
4370,Red Rock West
4848,Ri¢hie Ri¢h
4878,Safe Passage
4881,The River Wild
4886,Speed
4896,Speechless
4963,Timecop
4973,True Lies
4979,When a Man Loves a Woman
4993,Wolf
5013,Wyatt Earp
5016,Bad Company
5151,A Man of No Importance
5299,S.F.W.
5349,A Low Down Dirty Shame
5378,"Boys Life: Three Stories of Love, Lust, and Liberation"
5380,Colonel Chabert
5445,"Faster, Pussycat! Kill! Kill!"
5459,Jason's Lyric
5502,The Secret Adventures of Tom Thumb
5669,Street Fighter
5816,Coldblooded
5872,Desert Winds
5902,Fall Time
5952,The Fear
5989,Frank and Ollie
5991,Girl in the Cadillac
6157,Homage
6333,Mirage
6365,Open Season
6539,Dos Crímenes
6568,Brother Minister: The Assassination of Malcolm X
7153,Highlander: The Final Dimension
150,Federal Hill
153,In the Mouth of Madness
165,8 Seconds
296,Above the Rim
344,Addams Family Values
349,Martin Lawrence: You So Crazy
380,The Age of Innocence
457,Airheads
588,The Air Up There
590,Another Stakeout
592,Bad Girls
593,Barcelona
595,Being Human
32,The Beverly Hillbillies
34,Beverly Hills Cop III
47,Black Beauty
110,Blink
165,Blown Away
231,Blue Chips
260,Blue Sky
296,Body Snatchers
318,Boxing Helena
344,A Bronx Tale
356,Cabin Boy
364,Calendar Girl
457,Carlito's Way
480,City Slickers II: The Legend of Curly's Gold
500,Clean Slate
520,Cliffhanger
527,Coneheads
593,Color of Night
736,Cops & Robbersons
750,The Cowboy Way
784,Dangerous Game
1073,Dave
1089,Dazed and Confused
1127,Demolition Man
1265,The Endless Summer 2
1270,Even Cowgirls Get the Blues
1276,Fatal Instinct
1370,Farewell My Concubine
1527,The Favor
1573,Fearless
1721,Fear of a Black Hat
1923,With Honors
2028,Flesh and Bone
2054,Widows' Peak
2571,For Love or Money
2959,The Firm
3408,Free Willy
3409,Fresh
3440,The Fugitive
3513,Geronimo: An American Legend
3555,The Getaway
3578,Getting Even with Dad
3977,Go Fish
4022,A Good Man in Africa
4027,Guilty as Sin
4036,Hard Target
4052,Heaven & Earth
4226,Hot Shots! Part Deux
4238,Live Nude Girls
4878,The Englishman Who Went Up a Hill But Came Down a Mountain
4963,The House of the Spirits
4973,House Party 3
4993,The Hudsucker Proxy
4995,I'll Do Anything
5064,In the Army Now
5418,In the Line of Fire
5952,In the Name of the Father
5989,The Inkwell
6058,What's Love Got to Do with It
6377,Jimmy Hollywood
6539,Judgment Night
6624,Jurassic Park
6870,Kalifornia
6942,Killing Zoe
7153,King of the Hill
7347,Lassie
7361,Last Action Hero
7439,Life With Mikey
8665,Lightning Jack
27700,M. Butterfly
33437,Made in America
33679,Malice
33794,The Man without a Face
36513,Manhattan Murder Mystery
37653,Menace II Society
37727,Executive Decision
37741,In the Realm of the Senses
40148,What Happened Was...
40339,Much Ado About Nothing
42013,Mr. Jones
43679,Mr. Wonderful
44199,Mrs. Doubtfire
44555,Naked
45442,The Next Karate Kid
45672,The New Age
45728,No Escape
46723,North
46948,Orlando
47394,A Perfect World
47518,Philadelphia
47610,The Piano
47629,Poetic Justice
47642,The Program
48043,The Puppet Masters
48304,Radioland Murders
48326,The Ref
48394,The Remains of the Day
48516,Renaissance Man
48593,Rising Sun
48738,The Road to Wellville
48774,RoboCop 3
48780,Robin Hood: Men in Tights
48997,Romeo Is Bleeding
49130,Romper Stomper
49272,Ruby in Paradise
49280,Rudy
49530,The Saint of Fort Washington
49910,Savage Nights
50068,Schindler's List
50442,The Scout
50601,Searching for Bobby Fischer
50794,Second Best
50872,The Secret Garden
51077,Serial Mom
51086,The Shadow
51091,Shadowlands
51255,Short Cuts
51412,A Simple Twist of Fate
51418,Sirens
51540,Six Degrees of Separation
51575,Sleepless in Seattle
51931,Sliver
51935,Blade Runner
52245,Son in Law
52281,So I Married an Axe Murderer
52321,Striking Distance
52328,Harem
52448,Super Mario Bros.
52458,Surviving the Game
52604,Terminal Velocity
52644,Thirty Two Short Films About Glenn Gould
52694,Threesome
52712,The Nightmare Before Christmas
52952,The Three Musketeers
52973,Tombstone
52975,Trial by Jury
53125,True Romance
53129,The War Room
53207,The Pagemaster
53318,"Paris, France"
53322,"The Beans of Egypt, Maine"
53519,Killer
53550,Welcome to the Dollhouse
53921,Germinal
53953,Chasers
53972,Cronos
53996,Naked in New York
54259,Kika
54286,Bhaji on the Beach
54503,Little Big League
54736,The Slingshot
54775,Wide Eyed and Legless
54780,Foreign Student
54787,"Ciao, Professore!"
54997,Spanking the Monkey
54999,The Little Rascals
55052,À la mode
55080,Andre
55094,The Escort
55116,Princess Caraboo
55118,The Celluloid Closet
55232,Café au Lait
55247,Dear Diary
55276,I Don't Want to Talk About It
55286,The Brady Bunch Movie
55290,Home Alone
55363,Ghost
55729,Aladdin
55765,Terminator 2: Judgment Day
55814,Dances with Wolves
55820,Tough and Deadly
55830,Batman
55946,The Silence of the Lambs
55995,Snow White and the Seven Dwarfs
56145,Beauty and the Beast
56156,Pinocchio
56171,Pretty Woman
56174,Window to Paris
56339,The Wild Bunch
56367,Love and a .45
56587,The Wooden Man's Bride
56607,A Great Day in Harlem
56633,Bye Bye Love
56757,One Fine Day
56775,Candyman: Farewell to the Flesh
56782,Century
56941,Fargo
57353,Homeward Bound II: Lost in San Francisco
57368,Heavy Metal
57528,Hellraiser: Bloodline
57669,The Pallbearer
58025,Jane Eyre
58078,Loaded
58103,Bread and Chocolate
58162,The Aristocats
58295,The Flower of My Secret
58303,Two Much
58306,Ed
58559,Scream of Stone
58806,My Favorite Season
58839,A Modern Affair
58975,Condition Red
59016,Halfaouine: Boy of the Terraces
59103,A Thin Line Between Love and Hate
59107,The Last Supper
59141,Primal Fear
59256,Rude
59315,Carried Away
59362,All Dogs Go to Heaven 2
59369,Land and Freedom
59387,Denise Calls Up
59501,Theodore Rex
59900,A Family Thing
60069,Frisk
60072,Sgt. Bilko
60126,Jack & Sarah
60397,Girl 6
60753,Diabolique
61132,"Little Indian, Big City"
61248,Roula
61323,Peanuts – Die Bank zahlt alles
61352,Happy Weekend
61697,Nelly and Monsieur Arnaud
62081,Courage Under Fire
62644,Mission: Impossible
63853,Cold Fever
64957,Moll Flanders
1,The Superwife
16,"301, 302"
17,DragonHeart
29,Und keiner weint mir nach
32,My Mother's Courage
34,Eddie
36,Yankee Zulu
47,Billy's Holiday
50,Purple Noon
73,August
82,James and the Giant Peach
97,Fear
123,Kids in the Hall: Brain Candy
125,Faithful
150,Underground
155,All Things Fair
157,Bloodsport II
160,Pather Panchali
162,The World of Apu
175,Mystery Science Theater 3000: The Movie
176,Tarantella
194,Space Jam
198,Barbarella
223,Hostile Intentions
232,They Bite
235,Some Folks Call It a Sling Blade
246,The Run of the Country
247,Alphaville
260,Coup de Torchon
273,Tigrero: A Film That Was Never Made
290,The Eye of Vichy
293,Windows
296,It's My Party
301,Country Life
307,Operation Dumbo Drop
309,The Promise
318,Mrs. Winterbourne
322,Solo
334,Under The Domim Tree
337,The Substitute
348,True Crime
356,Butterfly Kiss
363,Feeling Minnesota
373,Delta of Venus
441,To Cross the Rubicon
446,Angus
457,Priest Daens
475,Faces
492,Boys
497,The Quest
501,Cosi
523,Sunset Park
527,Mulholland Falls
529,The Truth About Cats & Dogs
535,Oliver & Company
541,Celtic Pride
549,Flipper
555,Captives
568,Of Love and Shadows
581,Dead Man
589,The Horseman on the Roof
590,Switchblade Sisters
593,Mouth to Mouth
595,The Visitors
608,Multiplicity
728,"The Haunted World of Edward D. Wood, Jr."
735,Two Friends
750,The Craft
759,The Great White Hype
778,Last Dance
800,War Stories Our Mother Never Told Us
858,Cold Comfort Farm
866,"Institute Benjamenta, or This Dream People Call Human Life"
899,Heaven's Prisoners
903,Original Gangstas
904,The Rock
912,Getting Away with Murder
916,Cemetery Man
926,Twister
940,Barb Wire
953,Le Garçu
969,Honeymoon
994,Ghost in the Shell
1023,Thinner
1036,Spy Hard
1041,Brothers in Trouble
1059,A Close Shave
1060,Force of Evil
1079,The Stupids
1080,The Arrival
1086,The Man from Down Under
1089,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
1111,Careful
1120,Vermont Is for Lovers
1132,A Month by the Lake
1136,Gold Diggers: The Secret of Bear Mountain
1147,Kim
1148,Carmen Miranda: Bananas Is My Business
1172,Ashes of Time
1177,The Jar
1184,Maya Lin: A Strong Clear Vision
1185,Stalingrad
1192,The Phantom
1193,Striptease
1196,The Last of the High Kings
1197,Heavy
1198,Jack
1199,I Shot Andy Warhol
1206,The Grass Harp
1207,Someone Else's America
1208,Life is Rosy
1211,Quartier Mozart
1213,Touki Bouki
1214,God's Gift
1216,Spirits of the Dead
1217,Babyfever
1219,Pharaoh's  Army
1221,Trainspotting
1224,Til There Was You
1225,Independence Day
1230,Stealing Beauty
1233,The Fan
1234,The Hunchback of Notre Dame
1240,The Cable Guy
1242,Kingpin
1245,Eraser
1246,The Gate of Heavenly Peace
1263,The Nutty Professor
1264,"I, the Worst of All"
1270,An Unforgettable Summer
1273,A Hungarian Fairy Tale
1277,My Life and Times With Antonin Artaud
1279,Midnight Dancers
1280,Somebody to Love
1285,A Very Natural Thing
1289,The Old Lady Who Walked in the Sea
1291,Daylight
1293,The Frighteners
1299,Lone Star
1354,Harriet the Spy
1356,Phenomenon
1357,Walking and Talking
1358,She's the One
1394,A Time to Kill
1449,American Buffalo
1499,Rendezvous in Paris
1517,Alaska
1537,Fled
1545,Kazaam
1552,Magic Hunter
1584,Larger Than Life
1587,A Boy Called Hate
1610,Power 98
1617,Two Deaths
1625,A Very Brady Sequel
1635,Stefano Quantestorie
1639,Death in the Garden
1641,Hedd Wyn
1643,La Collectionneuse
1648,Kaspar Hauser
1658,Regular Guys
1672,Diebinnen
1673,The Convent
1674,The Adventures of Pinocchio
1678,Joe's Apartment
1682,The First Wives Club
1683,Stonewall
1684,Ransom
1701,High School High
1704,Phat Beach
1719,Foxfire
1721,Chain Reaction
1730,Matilda
1784,Emma
1794,The Crow: City of Angels
1799,House Arrest
1834,Eyes Without a Face
1836,Bordello of Blood
1883,Lotto Land
1892,The Story of Xinghua
1914,The Day the Sun Turned Cold
1923,Flirt
1952,The Big Squeeze
1954,The Spitfire Grill
1957,Escape from L.A.
1960,Cyclo
1961,Basquiat
1962,Tin Cup
2020,Dingo
2028,The Ballad of Narayama
2064,Every Other Weekend
2081,Mille bolle blu
2095,Crows and Sparrows
2108,The Godfather
2136,Maybe... Maybe Not
2144,Police Story 3: Supercop
2150,Manny & Lo
2160,Wife
2174,Small Faces
2193,Bound
2194,Carpool
2243,Death in Brunswick
2248,Kansas City
2252,Gone Fishin'
2263,Lover's Knot
2266,Vive L'Amour
2268,Shadow of Angels
2291,Killer: A Journal of Murder
2294,Nothing to Lose
2302,Project S
2312,Girls Town
2331,Bye-Bye
2333,The Relic
2348,The Island of Dr. Moreau
2355,First Kid
2363,The Trigger Effect
2391,Sweet Nothing
2394,Bogus
2416,Bulletproof
2419,Talk of Angels
2431,The Land Before Time III: The Time of the Great Giving
2520,1-900
2542,Baton Rouge
2571,Halloween: The Curse of Michael Myers
2572,Twelfth Night
2580,Mother Night
2628,Liebelei
2657,Venice
2692,Wild Reeds
2702,For Whom the Bell Tolls
2716,The Philadelphia Story
2739,Singin' in the Rain
2762,An American in Paris
2791,Funny Face
2797,Breakfast at Tiffany's
2840,Vertigo
2841,Rear Window
2858,It Happened One Night
2871,Gaslight
2916,The Gay Divorcee
2985,North by Northwest
2987,The Apartment
2997,Some Like It Hot
3052,Charade
3077,Casablanca
3079,The Maltese Falcon
3100,My Fair Lady
4424,Sabrina
1911,Roman Holiday
1965,The Little Princess
2116,Meet Me in St. Louis
2431,The Wizard of Oz
3258,Gone with the Wind
3444,My Favorite Year
6957,Sunset Boulevard
33004,Citizen Kane
43560,2001: A Space Odyssey
56607,Golden Earrings
58047,All About Eve
293,The Women
318,Rebecca
2571,Foreign Correspondent
2959,Notorious
168252,Spellbound
6,An Affair to Remember
107,To Catch a Thief
135,Father of the Bride
260,The Band Wagon
293,Ninotchka
296,Love in the Afternoon
348,Gigi
349,The Reluctant Debutante
362,The Adventures of Robin Hood
441,The Mark of Zorro
531,Laura
541,The Ghost and Mrs. Muir
555,Lost Horizon
589,Top Hat
599,To Be or Not to Be
608,My Man Godfrey
733,Giant
745,East of Eden
750,The Thin Man
778,His Girl Friday
838,Around the World in Eighty Days
969,It's a Wonderful Life
1036,Mr. Smith Goes to Washington
1079,Bringing Up Baby
1080,Penny Serenade
1093,The Scarlet Letter
1148,Lady of Burlesque
1188,Of Human Bondage
1196,Angel on My Shoulder
1197,Little Lord Fauntleroy
1198,They Made Me a Criminal
1200,The Inspector General
1201,Angel and the Badman
1208,The 39 Steps
1209,A Walk in the Sun
1214,The Outlaw
1220,Night of the Living Dead
1223,The African Queen
1233,Beat the Devil
1234,Cat on a Hot Tin Roof
1240,The Last Time I Saw Paris
1249,Meet John Doe
1261,Algiers
1262,Something to Sing About
1265,A Farewell to Arms
1272,Moonlight Murder
1278,Nothing Personal
1287,"Yes, Madam"
1291,Dangerous Ground
1303,Picnic
1304,Madagascar Skin
1321,The Pompatus of Love
1378,Small Wonders
1387,Fly Away Home
1394,Bliss
1396,Grace of My Heart
1408,Brother of Sleep
1527,Maximum Risk
1580,Michael Collins
1610,The Rich Man's Wife
1732,Infinity
1784,Big Night
1831,Last Man Standing
1884,Caught
1953,Set It Off
1954,2 Days in the Valley
1960,Curdled
2028,L'associé
2072,Ed's Next Move
2108,Extreme Measures
2194,The Glimmer Man
2300,D3: The Mighty Ducks
2401,The Chamber
2502,The Apple Dumpling Gang
2529,"Davy Crockett, King of the Wild Frontier"
2542,Escape to Witch Mountain
2571,The Love Bug
2692,Herbie Rides Again
2716,Old Yeller
2728,The Parent Trap
2797,Pollyanna
2871,Homeward Bound: The Incredible Journey
2918,The Shaggy Dog
2944,Swiss Family Robinson
2947,That Darn Cat!
2951,"20,000 Leagues Under the Sea"
2959,Cool Runnings
2997,Angels in the Outfield
3030,Cinderella
3037,Winnie the Pooh and the Blustery Day
3066,The Three Caballeros
3112,The Sword in the Stone
3252,So Dear to My Heart
3265,Robin Hood: Prince of Thieves
3267,Mary Poppins
3275,Dumbo
3361,Pete's Dragon
3362,Bedknobs and Broomsticks
3384,Alice in Wonderland
3481,The Fox and the Hound
3504,Freeway
3507,The Sound of Music
3508,Die Hard
3527,The Lawnmower Man
3555,Unhook the Stars
3578,Synthetic Pleasures
3654,The Secret Agent
3671,Secrets & Lies
3681,That Thing You Do!
3703,To Gillian on Her 37th Birthday
3836,Surviving Picasso
3868,Love Is All There Is
3996,Beautiful Thing
4011,The Long Kiss Goodnight
4027,The Ghost and the Darkness
4262,Looking for Richard
4327,Trees Lounge
4855,The Proprietor
4881,Normal Life
4886,Get on the Bus
4973,Shadow Conspiracy
4979,Jude
5010,Everyone Says I Love You
5060,Bitter Sugar
5418,Romeo + Juliet
5445,Swingers
5782,Sleepers
5899,The Sunchaser
5903,Johns
6016,Aladdin and the King of Thieves
6377,The Woman in Question
6448,Shall We Dance
6502,A Damsel in Distress
6711,Crossfire
6807,"Murder, My Sweet"
6808,Macao
6874,For the Moment
6893,Willy Wonka & the Chocolate Factory
6947,The Sexual Life of the Belgians
7022,The Innocents
7076,Sleeper
7090,Bananas
7143,A Fish Called Wanda
7438,Life of Brian
7445,Victor/Victoria
7802,The Candidate
7980,The Great Race
8132,Bonnie and Clyde
8169,The Old Man and the Sea
8665,Dial M for Murder
8798,Madame Butterfly
8874,Dirty Dancing
8949,Reservoir Dogs
8961,Platoon
26172,Weekend at Bernie's
26614,Basic Instinct
27728,The Doors
27831,The Crying Game
27869,Glengarry Glen Ross
31878,Sophie's Choice
32587,E.T. the Extra-Terrestrial
33794,The Search for One-eye Jimmy
34405,A Christmas Carol
36529,Days of Thunder
37731,Top Gun
37733,American Strays
38038,Rebel Without a Cause
38061,A Streetcar Named Desire
39381,Children of the Corn IV: The Gathering
41997,The Leopard Son
44191,Charm's  Incidents
44195,Bird of Prey
45517,Microcosmos
46578,Palookaville
46976,The Associate
48774,The Funeral
49272,The Sleepover
49530,A Single Girl
50872,The Eighth Day
51255,North Star
51662,Drunks
53972,The People vs. Larry Flynt
54286,Glory Daze
54995,A Perfect Candidate
54997,On Golden Pond
55118,The Return of the Pink Panther
55247,Drop Dead Fred
55765,The Abyss
58295,The Fog
58559,Escape from New York
59315,The Howling
59369,Jean de Florette
59784,Manon of the Spring
60684,Johnny 100 Pesos
62849,Private Benjamin
65596,Monty Python and the Holy Grail
66297,Hustler White
68157,Dadetown
68358,Everything Relative
68954,Entertaining Angels - The Dorothy Day Story
69481,Three Lives and Only One Death
69524,The Line King: The Al Hirschfeld Story
69757,Snowriders
71535,Curtis's Charm
72998,When We Were Kings
73017,The Wrong Trousers
76251,JLG/JLG: Self-Portrait in December
79132,The Return of Martin Guerre
79702,Faust
81229,He Walked by Night
81564,Raw Deal
81834,T-Men
85354,The Children Are Watching Us
86142,Pastoral Symphony
87232,Here Comes Cookie
88125,Love In Bloom
88744,Six of a Kind
89745,The Tin Drum
89774,The Ruling Class
90600,Mina Tannenbaum
91500,2 or 3 Things I Know About Her
91529,The Bloody Child
91542,Dear God
93510,Bad Moon
93838,American Dream
95167,Best of the Best 3: No Turning Back
32,Bob Roberts
50,Cinema Paradiso
111,"The Cook, the Thief, His Wife & Her Lover"
198,Dead Tired
260,Delicatessen
296,The Double Life of Veronique
316,Enchanted April
318,Paths of Glory
380,The Grifters
480,Hear My Song
541,The Shooter
589,The English Patient
593,Mediterraneo
924,My Left Foot: The Story of Christy Brown
968,"Sex, Lies, and Videotape"
1036,Passion Fish
1080,Strictly Ballroom
1089,The Thin Blue Line
1129,Tie Me Up! Tie Me Down!
1136,Madonna: Truth or Dare
1196,Paris is Burning
1198,One Flew Over the Cuckoo's Nest
1200,Up in Smoke
1206,The Empire Strikes Back
1208,The Princess Bride
1210,Raiders of the Lost Ark
1214,Brazil
1220,Aliens
1222,"The Good, the Bad and the Ugly"
1240,Withnail & I
1241,12 Angry Men
1255,Lawrence of Arabia
1261,A Clockwork Orange
1270,To Kill a Mockingbird
1288,Apocalypse Now
1291,Once Upon a Time in the West
1320,Return of the Jedi
1321,Wings of Desire
1527,The Third Man
1580,GoodFellas
1653,Alien
1676,Army of Darkness
1682,The Big Blue
1690,Ran
1732,The Killer
1884,Psycho
1982,The Blues Brothers
2105,The Godfather: Part II
2174,Full Metal Jacket
2193,A Grand Day Out
2288,Henry V
2329,Amadeus
2455,The Quiet Man
2528,Once Upon a Time in America
2571,Raging Bull
2662,Annie Hall
2791,The Right Stuff
2858,Stalker
2916,Das Boot
2959,The Sting
2985,Harold and Maude
2997,Trust
3018,The Seventh Seal
3033,Local Hero
3147,The Terminator
3156,Braindead
3275,Glory
3300,Rosencrantz & Guildenstern Are Dead
3527,Manhattan
3698,Miller's Crossing
3702,Dead Poets Society
3703,The Graduate
3704,Touch of Evil
3868,La Femme Nikita
3917,The Bridge on the River Kwai
4011,8½
4226,Chinatown
4239,The Day the Earth Stood Still
4262,The Treasure of the Sierra Madre
4553,Bad Taste
4878,Duck Soup
4975,Better Off Dead...
4995,The Shining
5254,Stand by Me
5445,M
5669,Evil Dead II
5853,The Great Escape
5903,The Deer Hunter
5989,Diva
6016,Groundhog Day
6502,Unforgiven
6537,The Manchurian Candidate
6731,Pump up the Volume
7153,Arsenic and Old Lace
7202,Back to the Future
7387,Fried Green Tomatoes
7984,Patton
8464,Down by Law
8501,Akira
8622,Highlander
